ID,Title of Artwork,Year,Street Address,Address Data,Primary Artist,Type,Current Status,Property Ownership,Agency or Insitution,Stewardship Responsibility,Program ,Artist Assistants ,Architect,Creation/Dedication Date,Arts District,City,State,Zipcode,Location Name,Location Description,Related Property,Indoor/Outdoor Accessible,Medium,Description of Artwork,General Images,Subject (Person),Comments and Notes,Dimensions,Primary Artist Gender,Fabricator,Maintenance/Conservation Notes,Save Outdoor Sculpture file on record,Funding Source,Wikipedia URL,Year Accuracy,osm_id,Council District,Neighborhood,Community Statistical Area (CSA),4 digit UID,Survey,Activity,Activity Notes,Ownership Accuracy,Latitude,Longitude,Modified
1988.001.XXX.LiDeP,RedwoodArch,1988,Redwood Street between Paca and Eutaw Streets,Block,Linda DePalma,Sculpture,in place,Mayor & City Council,City of Baltimore,City of Baltimore - BOPA,Municipal Arts Society Commission,,,,Bromo Arts District,Baltimore,MD,21201,,At the ends of the block,,Outdoor,steel,Steel Archway spanning over redwood street,"52p_DePalma L_1988.jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/liaXsBp4xayI0-btHrXIzg/U-ORSIN1GfsmLRS153JHKrY3In528qSWu_yG84YK3XCp4q797JbfkDpbEiERUFiW/Da2Ga1go9gpihOu5r8fAOl_tOm3BlUXYSnZvfYyMHqM),52o_DePalma L_1988.jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/12QY4LzVa9LwaPkj0QZkUg/NUDKB86P33HhHwlRX3lbyWbcgkhWFikkiT99jyAxKWG1C4X1yFnxpumm5CZvDARp/WBQSeWkMTAhYAdoBfkQ6WHKIJ4ovGjPf7uu7jCY-otw),52n_DePalma L_1988.jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/_on-xAO90PYr_L3I3yBchw/u1ggxPm0sLvLfyfmfvdbyG41awsQDsgQW8Mp5D3tOH5O6atMG4lSCS5KPvSGI6DP/F66hN00jbu5_EJlAwhxfaZ5u4e-DKu7X-v8Y3OxMRNI),52m_DePalma L_1988.jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/igh5io2wXlhlcT0-VClvqA/l0PmV-G1BnQTpjvoNPyOXujE9Lz0IZ9VQ0HnCzd1P52tSEfdrAYc3g7bySks2TmL/CcBqK8a29dyYvdlqZ3MRuZhTsuIg52IcG-W1EqyE-e0),52l_DePalma L_1988.jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/gNl0ToViOrutCznUHrppxQ/ka8w1vGJvcnuW_cINyZlv9u7wg9Q9ktbzG2l1M1OUmLVzL34iN8arydzPPVAnSt5/UXYlHCog6uwgy4leS5GNFMF_aWFYmQFRUX4vNdtp6-4),52k_DePalma L_1988.jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/7VKRphnteBPFFkuUU_Azkw/3D72TKjJdHG8m4E6U4BNM6z2MfqfiohYX_jqPcPrdnxxvMhvZLyq_sEZXubnydVA/zQVq-MfERIur0mhTL9T1AGWvWnC3qbHGZT85H5JylE4),52j_DePalma L_1988.jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/t8VlyGYROffNLufVKH3glA/oy34Bxn0MfCLDc_9AbbGWaMFLiQfKiIgjzDv0zaqOXqsBOxiSj9YrPNpLJ1Wjmny/_EetBf2sduv0hKHiKBpiGKt-kujzhKRN-DmW1St633g),52i_DePalma L_1988.jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/Bzg4_Brc6Bzuk1Uvbhx69w/nckfdDMq52XQ22W6si2TIRCYKIFMch4JptIPiZwx2h7E73dAMcXCiHPuo5zkQlUK/IHwfh0NkwV5cnYl2Eoios0BqlZdQJxznn-dYwR_K0CQ),52h_DePalma L_1988.jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/BecP7io1NJGQDxy0_tUp3Q/UsCFnLP-fXmmar3nAnYqsHHeEfK6wmCqvFnAcHyAxVCIFftpoSl4InKd7P1cB0Ay/IOeG1FAU07jQwbujXWpVLdpSG0UcmOk69oDMCEDSnVM),52g_DePalma L_1988.jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/4MtA1T_ISibgSjlJWKU70A/pUqwibKAdin5XgIhblkHJz9OPzRkbuVz7_pGD9QfTULvPVUwv70TWElgn1pQDU9X/kFP706ZlFt5XpCfPLbgaHg3E-GlG1hj9elw10_1BMLM),52f_DePalma L_1988.jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/g83hknYTCEHbaO1Cpo4QDQ/oMko7jXJHxTA__WKhd_ytH2PcIOJXaTev7W-mJomok06emkItpib1k2XZyONPKIB/Ipx_KKNanBY4uZn4wjYiuYxqxq1Rj2iGKr_R6nzU50E),52e_DePalma L_1988.jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/34bi7iMKPzjNhDmWeH4AAQ/QirKS8WuDHvy88bO7w93DzQcL45U4xwxrm0nT7lL0Udhdf3T4A-apkAkAijmunmb/4Z4v31VQngKzvSLu73K_nnOlG0TEJu5qoGO2lr57jnE),52d_DePalma L_1988.jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/yXG7BZlqHTrYu1NT6Ir44g/LK8V_a8dGNUY1TF5YUaZ_A4HQ_K1mDec_QjPtalFqRbHmd4XSiRr6Du4WIg4yyH0/8LQY6jaorCmy69Tx9JWwLgOn9XSAKg2yfSrM6ttZgK4),52c_DePalma L_1988.jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/v33qAjzPMSQEFtpfyHn8Yw/gZfIR5ICpOmuiBeTLlgP0CS0wMBYjGIY7g6TnrwNDqcm5wKRrxjQqhIfNlQLgMSV/yY3AT4pemxI7KdvcvG52dYISCsZVeI1ck2ww6p3S-oI),52b_DePalma L_1988.jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/TU1mckUY12mk1TDaR7YLMw/Zmx3Kub391vnO-bF0XFC-e0u2b_BBsW39Ipg9M_W4OlIohW-GnGeS6zCMYlPaDAl/IQHAVCTtHRlXxOrF_E2gwv6ryWEexEaNOd2t43IXGRI),52_DePalma L_1988.jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/YY4bA197nSZNwaePuJPkQA/qjz4_GwIBIyZ6IUWvmVjfKqZPM6Sg1z50n5GyHE4P2bfwFHw7muyja6ANHu4OHEA/iRcm3UIxkRho3F1wIP2nN_2bFcMcSYA_bcbqwNlkc1Y)",,,24 x 59 x 7 1/2 ft.,Female,,,checked,,,,node/9358163162,District 11,Downtown,Downtown/Seton Hill,5218,,Condition assessment (1991),"a few gouges on the columns, huge signs and banners are draped across it to advertize",,39.288612,-76.622110,12/8/2022 2:54pm
1988.006.PfA.CaLev,Unknown,1988,2501 Frederick Avenue,,Carlton Leverette,,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,,,Baltimore,MD,21223,Frederick ES,,Frederick ES,Indoor,,,"1988.006.PfA.CaLev-Photo2015.jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/jmLYS8_2JJwWfc8mLboTIA/9_iEug5XXkRa0uNEjsc0LaL87WGor2uv0PMrWb1c84QufeZRu3qVVrsrX6mx4xhH0XXgSDiV4MwfNrSxZ9-J3w/BZNdHYgKZhdzrXyf9_9Ev3QZdo5Q8deN1KQvCERBUl0),1988.006.PfA.CaLev-Photo2015 (8).jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/NeG5HtCm50cLsXB6clMyWA/oqRk_YEuwCxcG8drW5GC-uIWpZJR-9dnP_JY_bxtWychr4J_To-P2diWbmT1gvvHIsCrX15_5vhcc8YpkJYRdA/DCvL1Stjo8qOA2RWDJbHxFPyY4YBnXXEW9bSmYi6IKE),1988.006.PfA.CaLev-Photo2015 (7).jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/tsxq7hwePCc9rm74gBTJ6Q/_DIMft342W4V32PEM1QaclCTgzAOv3EZoYjcSp_oWhj6S27CNKPUHCEVNIDA5BDzA6yypH13dndL4xOZhTFMGg/5noBHfi8BIu3v1OVUHWpZntSC0v3n-BmpBj0jtwHS44),1988.006.PfA.CaLev-Photo2015 (6).jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/lFlD9Mia9Zr0NCmpetHGOQ/R2PB6lxU-Ml6-cVpdUx4cBPh5Oh4QKMl6HGbjKv2adhYRjflcyHht-0qXh0begOhJYVxuSlOd4s-30djoYGirw/bwuiW6rs1UC2_JkYEKQJpztjq6fPhmJo96mYzZFtCGo),1988.006.PfA.CaLev-Photo2015 (5).jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/TaM3v0QOcS5d0olEqSK1qQ/FGi8BVo91yVxzQQmihwitmTCcewC06AfZzPJEIAn4L8r7EFndoJJoH5mYcFcDAX6CvzmDpUdBaoPthPpfRTzcw/kCBjOQQ3qNGI0jzqng2GwE-Ijgdzv1A2I0v7FeogqA0),1988.006.PfA.CaLev-Photo2015 (4).jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/mcQH0uhiBZsYnJ0lgNbfTw/RmRqPF62Yk9gjFBTud7ae_51wuAe-_0mqt-0edzN_NxuiuwhPSqJgYTAGg6L6wEVgzrcjRuwLxbPhEBucZLkOQ/JrOED8DKFaTzId3nUmj8ADmm7FCDDNyKOFA-e2oAxGs),1988.006.PfA.CaLev-Photo2015 (3).jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/2sAF2C0dNwk4rqSXH_PLGA/ZLTB0njgkTisI-ArtRkIqQN7BOA3mLZ0Zeb4qykPKvULO4klojm8QrbtzaA9ys-3dfRKhNHrxs097ixKii_cXw/spZ-0DrrLZRsjGkJMNou7hsHBevTAkKwSAueDW_xni4),1988.006.PfA.CaLev-Photo2015 (2).jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/Sc3LZcbpVSils3QSIqo0sw/SNdGAMXws0WDijmpUAeQPLSMGjXGyWYQuS230QTYWpZAg85ArQ_5CrEv2-Tsh61RywlSK48F_Sp22qOnxazpcg/gUDHcWk189kdWKx6gRXqH_0CMM3I1qEQw0iRgEwZ_v4)",,,,Male,,,,,,,,District 9,Millhill,Southwest Baltimore,5065,,,,,39.282418,-76.656825,12/8/2022 2:54pm
1988.004.PfA.JoMcC,Unknown,1988,1425 E. Fort Avenue,,John D. McCarty,Sculpture,,Mayor & City Council,,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,,,Baltimore,MD,21230,Francis Scott Key E/MS,Interior; entrance wall,Francis Scott Key E/MS,Indoor,steel,,,,,,Male,,,checked,,,,,District 11,Locust Point,,6993,,Condition assessment (1991),"very dirty, concrete base disintegrating, great deal of graffiti and pencil markings, pin point rusting, uneven textural surface - painting did not completely cover steel surface,",,39.268205,-76.594534,12/8/2022 2:55pm
,Untitled,1988,10 Art Museum Drive,,Joel Shapiro,Sculpture,in place,Mayor & City Council,,Baltimore Museum of Art,,,,,,Baltimore,MD,21218,Ryda and Robert H. Levi Sculpture Garden,,Baltimore Museum of Art,Outdoor,,,,,,,Male,,,,,,Approximate,,District 14,Johns Hopkins Homewood,Greater Charles Village/Barclay,,,,,,39.326707,-76.618257,12/8/2022 2:54pm
1987.004.BMP.JoEll,'Alligators',1987,600 W. 28th Street,,John Ellsberry,Mural,in place,,,,Baltimore Mural Program (BOPA),"Gary Wimmer,Angela Devoti",,,,Baltimore,MD,21211,,,,Outdoor,painted mural,,"1987.004.BMP.JoEll (2).JPG (https://v5.airtableusercontent.com/v1/13/13/1670558400000/XhDeJ9RLEEGYMGieE4xT4w/0YdpUD6IggTI52-u-268BkPlvZriI5cdHKjF75lcUjza6yhsyS_7zEYW-vbsxO-0/OltwcHPYic4AdL4RDNAv12pnb8IJyo4PTS2EruJ1G4w),1987.004.BMP.JoEll.JPG (https://v5.airtableusercontent.com/v1/13/13/1670558400000/gA7V_i5EaXbrnjtbDKugkg/gIQbhpJ-gN2Hr1MJngmLmgAC2FkWenMPFqKaymR66w-9BFwgqiZUt35BF76CDfmK/cYYlSIkfED7dRB631PoD0t3BAgqt0tZrpv3SlVFJV_g)",,,8'x120' (approximate),Male,,,,,,,,District 12,Jones Falls Area,Medfield/Hampden/Woodberry/Remington,4239,,,,,39.319178,-76.625603,12/8/2022 4:59pm
1987.012.BMP.RoWoo,[Baltimore and Ohio 5302],1987,711 Poplar Grove,,Robbie Woodside,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21216,,,,Outdoor,painted mural,,,,,,,,,,,,,,District 9,Mosher,Greater Rosemont,7051,,,,,39.296076,-76.664686,12/8/2022 4:59pm
1987.002.BMP.CaBla,[Unknown],1987,2222 Druid Hill Avenue,,Camillia Blackwell,Mural,removed,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21217,,,,Outdoor,painted mural,,,,,,Female,,,,,,,,District 7,Druid Heights,Upton/Druid Heights,7282,,,,,39.309333,-76.637984,12/8/2022 4:59pm
1987.005.BMP.JoFor,[Unknown],1987,3500 Hillen Road,,John Ford,Mural,,,,,,,,,,Baltimore,MD,21218,,,,,painted mural,,,,,,Male,,,,,,,,District 14,Ednor Gardens-Lakeside,Northwood,9030,,,,,39.33253161387817,-76.59138483130111,12/8/2022 4:59pm
1987.011.BMP.MiTin,[Unknown],1987,2325 E. Eager Street,,Michael Tinson,Mural,demolished,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21205,,,,,painted mural,,1987.011.BMP.MiTin.JPG (https://v5.airtableusercontent.com/v1/13/13/1670558400000/klIVQiRsK197vlxIlbQcqg/S9LPj8hloOls2-E7OySlkXjKuyEG3VVwG3SOq1_M8b3UwdhUa3meKZrAssh3CVSt/fzHWpD4fdGcBP0jwCBTBy1yYWPFX7zOx-tLjsxh7Nks),,,,Male,,,,,,,,District 13,Middle East,Madison/East End,6977,,,,,39.301622,-76.5863307,12/8/2022 4:59pm
1987.001.XXX.SuBir,[Unknown],1987,600 Cherry Hill Road,,Susan Birchler,Mural,,,,,,,,,,Baltimore,MD,21225,Cherry Hill,,,,painted mural,,,,,,Female,,,,,,,,District 10,Cherry Hill,Cherry Hill,6913,,,,,39.2508202,-76.622418,12/8/2022 4:59pm
1987.008.BMP.ToMil,[Unknown],1987,600 Cherry Hill Road,,Tom Miller,Mural,in place,,,,Baltimore Mural Program (BOPA),Pam Thompson,,,,Baltimore,MD,21225,,,,Indoor,painted mural,,,,,,Male,,,,,,,,District 10,Cherry Hill,Cherry Hill,4460,,,,,39.2508202,-76.622418,12/8/2022 4:59pm
1987.009.XXX.GrMor,Fan Figure,1987,1 W. Pratt Street,,Greg Moring,Sculpture,in place,Mayor & City Council,Baltimore City Department of Housing and Community Development,Baltimore Office of Promotion and the Arts,,,,,,Baltimore,MD,21201,Baltimore Convention Center,Between Hopkins Pl. and Charles St.,Baltimore Convention Center,Outdoor,stainless steel,Approx. 30' stainless steel fan that gently sways with the wind,"154a_Moring G_1987.jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/FsNDP7PW4KC6Nt-N0mpY3w/o5ZJHVrJitlXTV22cPcJnL8YFb3WcgDYHYyNTtdK58Nxk-RwDsf_dWMdriG0INSQ/tTnZo6brQUif5EEWYF03hLNoYWHDeS8YSveyq-jgwOw),154_Moring G_1987.jpg (https://v5.airtableusercontent.com/v1/13/13/1670558400000/EuezlDAGTDSbgOa7M-r-rQ/Wozmty-VoOYIy-TxPHjTtFApgnLa8a01abbZ6FD4VhNjIohyIVLv1g214cMt7O2t/CM3ZZivGNyxU0dhYnmKsol0RLeVFB_AgDWoujl3v9AU)",,,25 x 13 x 13 ft.,Male,,"A few dings and dents, some scratches. There is one spot that is beginning to rust.;very dirty but well maintained",checked,,,,node/6763061485,District 11,Downtown West,Inner Harbor/Federal Hill,5253,,"Condition assessment (2009),Condition assessment (1991)","A few dings and dents, some scratches. There is one spot that is beginning to rust., very dirty but well maintained",,39.286270,-76.617006,12/8/2022 2:54pm
1987.003.XXX.LiDeP,Ground Play,1987,4400 Old Court Road,,Linda DePalma,Sculpture,in place,State of Maryland,Maryland Transit Administration,Maryland Transit Administration,Metro Station Artwork,,,,,Baltimore,MD,21208,Old Court Station (Metro),"Flood plain, between tracks and parking lot",,Outdoor,"concrete,aluminum,steel","largescale site work with checkerboard, whirled ground, a child's figure, ball, and two columns supporting a chair and man figure.","30b_DePalma L_1987.JPG (https://v5.airtableusercontent.com/v1/13/13/1670558400000/FqE1EBdfqhIAI_k7Ud0kTQ/E6qyV782mvzLQIBsUFSq4OFOzLOA-O9eXq8WjtQpwc58LVO5X68wX2wMA6AGfXKm/KSsruHWP5wR2gCqzehRjQ4WGF82JyNKm6onKJPPQDIs),30a_DePalma L_1987.JPG (https://v5.airtableusercontent.com/v1/13/13/1670558400000/JE8HrHx2lrRLgJjp-nnemw/UxxoGawPAke8mVz_UjsCein3-0TOeMQjAgA0hsAX93SrS52ZcNV4xcxJslpMYNg5/tk6okQp83yG6xSPdNRPkVy0Kc7fmV5B_exSrdZsVyCU),30_DePalma L_1987.JPG (https://v5.airtableusercontent.com/v1/13/13/1670558400000/xcruuuEIRX8mXq7gf7jLKA/g0PSrxPM-X0GvmR5pVjsWUz2uihNb1wTup6BCpjeCwkaxfvnIbs89xcW4F5q-vGt/XNy3J5N82z1CgDHDPfhJx7QRSUfOLfxiEHlYdgP_p10)",,in BALTIMORE COUNTY; not our jurisdiction,,Female,,,,,,,way/957214498,,,,5332,,Condition assessment (2009),"fairly good condition. Blue child figure has some staining, needs repainting",,39.371240,-76.743399,12/8/2022 2:56pm
1987.006.XXX.LlLil,"Mayor Thomas D'Alesandro, Jr.",1987,1 N. Charles Street,,Lloyd Lillie,"Monument,Sculpture",in place,,,,,,,,,Baltimore,MD,21201,CSX Promenade,CSX Promenade,,Outdoor,bronze,2 bronze statues of d'alesandro,"317c_Lillie L_1987.JPG (https://v5.airtableusercontent.com/v1/13/13/1670558400000/cbk_Ue7ne5sfPlaw6EZuMQ/cO1lJXU-A3pQBYKb_5ItVEwFNQdbtns8UVaTP_q6DviKXcToNNjfz-3oRKZ107ad/00Gnhf_yawSHlAvJLQJGmud_01DmV4WwNShbqXqjX7U),317b_Lillie L_1987.JPG (https://v5.airtableusercontent.com/v1/13/13/1670558400000/tE0c-swRTQHHkwvyUr6poQ/g2kdw3uKxorLZ_Vu-bXdadfesmiawIrnTcIpRatuF4xvypLXdVC0g9RPsVN2JpOL/CQtNkLorvAeJuqd3TVk5KXSpfAuNPcQsWjVfGRBrABo),317a_Lillie L_1987.JPG (https://v5.airtableusercontent.com/v1/13/13/1670558400000/91d97ZDqz_0DRYyTKb5lhw/7D32Ufms-8qHp2_j5WCPhO7vhPkE73eCyqoQymitjgVl-XYvZLRpNUgesr-1EbwW/YTGHLmkjl62gUzRWKYsExjVuJ2dqfh495E-SmE5jX_0),317_Lillie L_1987.JPG (https://v5.airtableusercontent.com/v1/13/13/1670558400000/-tjFBZ0UJIWYxypJMG6FRw/f2ZtMCdvev7A9BM6meckpMc8ItFkTKU309F98Z0Bd-W-fLmBLkCLWphanygeNMKE/YvJu75mcI8dD_kFLCryeRJOM7qHC2AG6Xks3-O_eytM)","""Thomas D'Alesandro, Jr.""",,78 x 32 x 21 in,Male,,,checked,,,,node/7834035255,District 11,Downtown,Downtown/Seton Hill,8242,,"Condition assessment (2009),Condition assessment (1991)","good condition, water collects in lap and in coat on bench between his crossed legs, graffiti, needs cleaning and hot wax",,39.291073,-76.615880,12/8/2022 2:54pm
1987.007.XXX.MaMea,Streamings,1987,5018 Painters Mill Road,,Mary Ann Mears,Sculpture,in place,State of Maryland,Maryland Transit Administration,Maryland Transit Administration,Metro Station Artwork,,,,,Owings Mill,MD,21117,Owings Mills Station (Metro),Station entrance corridors,,Indoor,aluminum,Abstract aluminum figures along corridor walls,"1e_Mears M_1987.JPG (https://v5.airtableusercontent.com/v1/13/13/1670558400000/s-idsUDDq2TY7FxwJjIw-A/qcoO6Of6Ssd9EZjfmdzl-1_G0NmxWhKiG8H9yNuCBmb95lBtpces4v9U4p_HH4NV/_pT0tXXrYE0Nja34TaF3RrbwO9ZiH0PWGSD3JEZ9P10),1d_Mears M_1987.JPG (https://v5.airtableusercontent.com/v1/13/13/1670558400000/r8r0tN21B9Y746oxYY1-Rw/mMM0IznO_BezRXrU9EQi0UU3Rf3UbTEkOV80SGE2t_T8Y0DyeUgVAqbAW3I7Ws5b/5oqhscdglHcbstvwz0u1-6KtElKnTthKgMadAUaUKAA),1c_Mears M_1987.JPG (https://v5.airtableusercontent.com/v1/13/13/1670558400000/ml6dSmilGc-6bGx2s4IqaA/Drk_edAf5lRDtKJR9CMZZkB0lXYY8g1SGBazsgHAe1basCpoP5XgDXwlLxzB7967/54axVitCRgeq-rAIpTm942B9p8O5iE1KTeZcVPDGDBk),1b_Mears M_1987.JPG (https://v5.airtableusercontent.com/v1/13/13/1670558400000/YzyW6Bb4Tmjx6C3wMiqszA/UojhAjgilxjIUjRoai_51rUroZJtrEAgksW_K8sWe8mX8gUNyTdrUjftAj9dpx8u/QmEOKRyDF_Ms3spqHETZiw-YdXwfzI7icn8qGoBN1SA),1a_Mears M_1987.JPG (https://v5.airtableusercontent.com/v1/13/13/1670558400000/9G6PBltQT2VS7XnBknsqVA/mymfLpzAVpLZ8zCJecNshHDMasRjR3J12tntkizi57E7_LgSVWQYu5MFJSO752e7/LqIpXhekd35BFBotgxakziAOFfXxJ59VlVI24Sqzy-s),1_Mears M_1987.JPG (https://v5.airtableusercontent.com/v1/13/13/1670558400000/F_s0YPbP_cNhVDTicxctnA/aBMFvpYgoWicEkIasV0cnTjquv2rpau9iXeW-3-XSBbUQlAuhJrFxeshv0xK71PD/H-M-RufgqxVEs9GX_a1lu7q786xRcpGE_W8OLIc2syw)",,in Baltimore County,,Female,,,,,,,,,,,4388,,Condition assessment (2009),"fairly good condition. Some chipped paint, gum removal.",,39.407359,-76.779851,12/8/2022 2:56pm
1987.013.XXX.JSJoh,The Briefing,1987,1 W. Pratt Street,,J. Seward Johnson,Sculpture,in place,Mayor & City Council,Baltimore City Department of Housing and Community Development,Baltimore Office of Promotion and the Arts,,,,,,Baltimore,MD,21201,Baltimore Convention Center,Inside Charles St. Lobby (100 Level),Baltimore Convention Center,Indoor,bronze,"two men with papers, briefcase and breakfast sitting/standing and 'talking business'","IMG_8370.JPG (https://v5.airtableusercontent.com/v1/13/13/1670558400000/cmvDZH5OvKXaO-a8MTNZsg/KDe1MZ9SLrVR2LbTlH-Lhfd0jzyCxR5PobS5BIHzHGG9GrFb-f7-WixtyAU7-aJAq2djUpc1WnFapZNsS94IZa3OdMfaJd57SbMoumkzmsk/hAzoZ53lYUKnlvMXiqZwdDyNNKb_9rPGVOcG5GbGgJ8),IMG_8371.JPG (https://v5.airtableusercontent.com/v1/13/13/1670558400000/1z0YKEUxzCxP7rjfMxrHXg/hxBPzZAxdfTLzP8PcsUFmANEwgAQ6yYwkE0JVU6e_vL9kvAVj2RH-sB_5o6fgSpmOyvEWmu2hdbUkpfOQsroWWXGt2mGuzrDGYvdnA0Zbd4/p1Q8bLCNuB77KGIIaL0JkdgV94Bi-sBa7A_9DVNfIjA),IMG_8372.JPG (https://v5.airtableusercontent.com/v1/13/13/1670558400000/uYUnwLZ73IKUlyN58e5V4Q/azcbK1TrZyvFRvt32SSTa7cYmr9BAjlpwEs7uud69n6oiUGB2Hdl08AAgELhS16FzMydnmHhvtj3DQ_UT6DaDVIGe_6Hmcq9RhZyz09UDPQ/163P8LGeRgje1hAzqQMmthzFUcAXexfrmDfFVhiBb1g),IMG_8373.JPG (https://v5.airtableusercontent.com/v1/13/13/1670558400000/X47Ebo41b4x9uX-RjoscLg/YbzC8P5FXUcJR-sGwVJMQnrjMykBxi3bOyc4bpPkpMrx7cckGyADio07YwytsutnBhjnt6-PiMk7HhXafmU-3hwzC3oyTPPb95HhxzqWdAw/H0dwGIAOHZPssb_c7JrtkL568su3xKO8PSco3jt0fGc),IMG_8374.JPG (https://v5.airtableusercontent.com/v1/13/13/1670558400000/0BzehWzKnWNw_To-PK3j2A/4fqSaQlNGsC5BVJxIp-86P98q-5UPPIhtuLUf4W4fjPpWLzbKHN5rPWFrSKuEyWDZbxHT71w6ZEF-t70xQ-q4JfSJpTcwapIu_3ELLVjEuY/YaPsHNhLmePNYs7oVznkS-CzKHUcSRVulW3o5On_ohs),IMG_8375.JPG (https://v5.airtableusercontent.com/v1/13/13/1670558400000/GZymnQ5P5jzl29joKfcwUg/Wg6OSvtiF6nkNHAPpRRIOKIrdJDMhWPgmTiiKt-66TTqrbbiq8AihIypa5dbie5UHEE9uIw6b0nd0uC2CcFdp0oYTryoNs2zE9k3k7cwNX8/xtgdDkBBKvfFbscuzVv_dP7xk95hllONMdZpIOcLXv0),IMG_8376.JPG (https://v5.airtableusercontent.com/v1/13/13/1670558400000/UycYRHmdeG_cvAKGkItVQA/w6wykpX_Xp_XJe7Wt-sZLYQFG4B2MwebULnsQDq5xREfLYp57QvBrx9sEf6OF2l-LIaKgDjSPZ1CIZDVRKLPwSMo3Azo4cyGXJfucbR03UM/gY2gTbQTVZfYBcbX11MzzdWiKeHx5QsUbnptGeeqDMY)",,,,Male,,"needs to be repainted. Someone put a sticker on the briefcase; graffiti on 'letter,' etched/pitted corrosion, missing parts?, differentiated surfaces,",checked,,,,,District 11,Downtown West,Inner Harbor/Federal Hill,1653,,"Condition assessment (2009),Condition assessment (1991)","needs to be repainted. Someone put a sticker on the briefcase, graffiti on 'letter,' etched/pitted corrosion, missing parts?, differentiated surfaces,",,39.28602364,-76.61544762,12/8/2022 2:54pm
1987.010.XXX.JoShe,The Flame,1987,E. Lombard Street and S. Gay Street,Intersection,Joseph Sheppard,"Monument,Sculpture",in place,Mayor & City Council,City of Baltimore,Downtown Partnership of Baltimore,,,,11/6/1988,,Baltimore,MD,21202,Holocaust Memorial Park,,Holocaust Memorial Park,Outdoor,bronze,,,,,H. 11 ft. x Diam. 6 ft.,Male,,,checked,,,,node/9239283761,District 11,Downtown,Downtown/Seton Hill,4019,,"Condition assessment (1991),Condition assessment (2018)","well cared for, The sculpture is very ""dry"" and needs to be cleaned and waxed, the fountain around it is clogged and full of leaves and grime",,39.288064,-76.608343,12/8/2022 2:54pm
