ID,Title of Artwork,Year,Street Address,Address Data,Primary Artist,Type,Current Status,Property Ownership,Agency or Insitution,Stewardship Responsibility,Program ,Artist Assistants ,Architect,Creation/Dedication Date,Arts District,City,State,Zipcode,Location Name,Location Description,Related Property,Indoor/Outdoor Accessible,Medium,Description of Artwork,General Images,Subject (Person),Comments and Notes,Dimensions,Primary Artist Gender,Fabricator,Maintenance/Conservation Notes,Save Outdoor Sculpture file on record,Funding Source,Wikipedia URL,Year Accuracy,osm_id,Council District,Neighborhood,Community Statistical Area (CSA),4 digit UID,Survey,Activity,Activity Notes,Ownership Accuracy,Latitude,Longitude,Modified
,[Birdland Mural],2022,420 E. 33rd Street,,Gaia,Mural,in place,,,,Birdland Murals,,,,,Baltimore,MD,21218,,,,,mural,,,,,,Male,,,,,,,,,,,,,,,,39.328555590526825,-76.60996827552634,9/29/2022 4:30pm
,[Fox Street Park Mural],2022, 306 W. 28th Street,,,Mural,in place,Private Property,,,,,,,,Baltimore,MD,21218,,Next to Fox Street Park,Fox Street Park,Outdoor,mural,,,,,,,,,,,,,,,,,,,,,,39.32113833552615,-76.62203356856689,12/1/2022 9:22pm
,[Saint Paul Street mural],2022,1815 Saint Paul Street,,,Mural,in place,Private Property,,,,,,,,Baltimore,MD,21202,,North facing next to parking lot,,Outdoor,mural,,,,,,,,,,,,,,,,,,,,,,39.31032710392162,-76.61464752056332,11/29/2022 10:24am
,Abell Open Space Mural,2022,301 E. 32nd Street,,Hannah Atallah,Mural,in place,Private Property,,,,,,,,Baltimore,MD,,,,Abell Open Space,Outdoor,mural,,,,, 90’ x 12’,Female,,,,,,,,,,,,,,,,39.32677367959011,-76.61275873750031,11/19/2022 12:03am
,B'MORE Birds: Black-crowned Night Heron,2022,5431 York Road,,Iandry Randriamandroso,Mural,in place,Private Property,,,,,,,,Baltimore,MD,21212,,,,Outdoor,painted mural,,,,,,Male,,,,,,,,,,,,,,,,39.35637103106436,-76.60976407625857,11/18/2022 10:23pm
,Braiding Seeds,2022,117 W. 24th Street,,Jaz Erenberg,Mural,in place,Private Property,,,,,,,,Baltimore,MD,21218,Our Time Kitchen,Front facade,,Outdoor,mural,,,,,,Female,,,,,,,,,,,,,,,,39.316109759450356,-76.61911333702167,9/22/2022 6:42pm
,Prosper,2022,305 E. Lafayette Street,,Hannah Atallah,Mural,in place,Private Property,,,,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,Female,,,,,,,,,,,,,,,,39.3098220393883,-76.61179906589186,11/19/2022 12:04am
,[White-tail deer mural],2022,354 S. Woodyear Street,,"Nether,Arts + Parks",Mural,in place,,Mount Clare Community Council,,,,,2/23/2022,,Baltimore,MD,,,,,Outdoor,mural,,,,Date from Nether Instagram post: https://www.instagram.com/p/CaU9dw6JAvD/,,Male,,,,,,,,,,,,,,,,39.28351688114712,-76.6386708807583,9/23/2022 12:14pm
,,2022,1737 W. Pratt Street,,"Nether,Arts + Parks",Mural,in place,,Mount Clare Community Council,,,,,3/12/2022,,Baltimore,MD,,,,,Outdoor,mural,,,,Date from Mount Clare Community Council Instagram post,,Male,,,,,,,,,,,,,,,,39.28511272171275,-76.64485361634512,9/23/2022 12:14pm
,[Horse and cherry blossom mural],2022, 300 S. Calhoun Street,,Nether,Mural,in place,,Mount Clare Community Council,,,,,3/24/2022,,Baltimore,MD,,,,,Outdoor,mural,,,,Date from Nether Instagram post: https://www.instagram.com/p/CbfcT87uPmX/,,Male,,,,Lowe's Home Improvement,,,,,,,,,,,,39.284415021210016, -76.63954057255685,9/23/2022 12:14pm
,Ascend,2022,8600 McDonogh Road,,Oletha DeVane,Sculpture,in place,Private Property,,,,,,4/19/2022,,Owings Mill,MD,21117,McDonogh School,,,Outdoor,,,,"David McDonogh,Nancy",,14' high,Female,,,,,,,,,,,,,,,,39.39501324873979,-76.77830438241268,4/21/2022 12:33pm
,Memorial to Those Enslaved and Freed,2022,8600 McDonogh Road,,Oletha DeVane,"Memorial,Landscape",in place,Private Property,,,,,,4/19/2022,,Owings Mill,MD,21117,McDonogh School,,,Outdoor,,,,,,,Female,,,,,,,,,,,,,,,,39.39501324873979,-76.77830438241268,4/21/2022 12:33pm
